"排序","流量入口","浏览量占比",
"0","直接访问","39.89%",
"1","其他外链","29.92%",
"2","搜索引擎","29%",
"3","导航网站","0.99%",
"4","社会化媒体","0.21%",

"直接访问 2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.31","25.18%",
="2017.08.01","25.38%",
="2017.08.02","25.53%",
="2017.08.03","25.61%",
="2017.08.04","24.85%",
="2017.08.05","24.52%",
="2017.08.06","24.92%",
="2017.08.07","42.32%",
="2017.08.08","42.20%",
="2017.08.09","24.44%",
="2017.08.10","24.63%",
="2017.08.11","24.71%",
="2017.08.12","24.62%",
="2017.08.13","41.57%",
="2017.08.14","24.81%",
="2017.08.15","24.89%",
="2017.08.16","26.05%",
="2017.08.17","42.13%",
="2017.08.18","41.14%",
="2017.08.19","26.62%",
="2017.08.20","26.79%",
="2017.08.21","26.19%",
="2017.08.22","26.51%",
="2017.08.23","26.48%",
="2017.08.24","25.97%",
="2017.08.25","25.23%",
="2017.08.26","26.01%",
="2017.08.27","26.53%",
="2017.08.28","25.02%",
="2017.08.29","25.52%",
="2017.08.30","25.21%",
="2017.08.31","41.07%",
="2017.09.01","24.52%",
="2017.09.02","25.93%",
="2017.09.03","26.12%",
="2017.09.04","41.55%",
="2017.09.05","25.51%",
="2017.09.06","25.58%",
="2017.09.07","25.41%",
="2017.09.08","39.85%",
="2017.09.09","25.53%",
="2017.09.10","26.50%",
="2017.09.11","25.43%",
="2017.09.12","25.38%",
="2017.09.13","40.84%",
="2017.09.14","25.81%",
="2017.09.15","24.31%",
="2017.09.16","25.38%",
="2017.09.17","26.55%",
="2017.09.18","41.06%",
="2017.09.19","26.01%",
="2017.09.20","25.87%",
="2017.09.21","25.74%",
="2017.09.22","24.70%",
="2017.09.23","25.58%",
="2017.09.24","27.05%",
="2017.09.25","26.06%",
="2017.09.26","41.64%",
="2017.09.27","41.75%",
="2017.09.28","25.78%",
="2017.09.29","40.29%",
="2017.09.30","39.62%",

"导航网站 2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","1.35%",
="2017.07.02","0.00%",
="2017.07.03","1.36%",
="2017.07.04","0.00%",
="2017.07.05","1.37%",
="2017.07.06","1.36%",
="2017.07.07","0.00%",
="2017.07.08","1.36%",
="2017.07.09","0.00%",
="2017.07.10","0.00%",
="2017.07.11","0.00%",
="2017.07.12","0.00%",
="2017.07.13","0.00%",
="2017.07.14","1.38%",
="2017.07.15","1.27%",
="2017.07.16","0.00%",
="2017.07.17","1.35%",
="2017.07.18","1.37%",
="2017.07.19","1.33%",
="2017.07.20","1.27%",
="2017.07.21","0.00%",
="2017.07.22","0.00%",
="2017.07.23","1.20%",
="2017.07.24","1.30%",
="2017.07.25","1.30%",
="2017.07.26","1.35%",
="2017.07.27","1.35%",
="2017.07.28","1.29%",
="2017.07.29","1.26%",
="2017.07.30","0.00%",
="2017.07.31","1.37%",
="2017.08.01","1.32%",
="2017.08.02","1.35%",
="2017.08.03","1.30%",
="2017.08.04","1.31%",
="2017.08.05","1.21%",
="2017.08.06","1.21%",
="2017.08.07","0.00%",
="2017.08.08","0.00%",
="2017.08.09","1.30%",
="2017.08.10","1.28%",
="2017.08.11","1.32%",
="2017.08.12","1.21%",
="2017.08.13","0.00%",
="2017.08.14","1.34%",
="2017.08.15","1.31%",
="2017.08.16","1.36%",
="2017.08.17","0.00%",
="2017.08.18","0.00%",
="2017.08.19","1.28%",
="2017.08.20","1.27%",
="2017.08.21","1.39%",
="2017.08.22","1.37%",
="2017.08.23","1.39%",
="2017.08.24","1.36%",
="2017.08.25","1.35%",
="2017.08.26","1.30%",
="2017.08.27","1.28%",
="2017.08.28","1.39%",
="2017.08.29","1.34%",
="2017.08.30","1.34%",
="2017.08.31","0.00%",
="2017.09.01","1.12%",
="2017.09.02","1.15%",
="2017.09.03","1.08%",
="2017.09.04","0.00%",
="2017.09.05","1.00%",
="2017.09.06","1.00%",
="2017.09.07","1.00%",
="2017.09.08","0.00%",
="2017.09.09","1.12%",
="2017.09.10","1.06%",
="2017.09.11","1.01%",
="2017.09.12","0.98%",
="2017.09.13","0.00%",
="2017.09.14","1.00%",
="2017.09.15","1.06%",
="2017.09.16","1.12%",
="2017.09.17","1.04%",
="2017.09.18","0.00%",
="2017.09.19","0.97%",
="2017.09.20","0.98%",
="2017.09.21","0.96%",
="2017.09.22","1.05%",
="2017.09.23","1.12%",
="2017.09.24","1.07%",
="2017.09.25","1.01%",
="2017.09.26","0.00%",
="2017.09.27","0.00%",
="2017.09.28","0.96%",
="2017.09.29","0.00%",
="2017.09.30","0.00%",

"社会化媒体 2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","0.21%",
="2017.07.02","0.00%",
="2017.07.03","0.30%",
="2017.07.04","0.00%",
="2017.07.05","0.30%",
="2017.07.06","0.29%",
="2017.07.07","0.00%",
="2017.07.08","0.20%",
="2017.07.09","0.00%",
="2017.07.10","0.00%",
="2017.07.11","0.00%",
="2017.07.12","0.00%",
="2017.07.13","0.00%",
="2017.07.14","0.26%",
="2017.07.15","0.21%",
="2017.07.16","0.00%",
="2017.07.17","0.27%",
="2017.07.18","0.25%",
="2017.07.19","0.25%",
="2017.07.20","0.23%",
="2017.07.21","0.00%",
="2017.07.22","0.00%",
="2017.07.23","0.19%",
="2017.07.24","0.23%",
="2017.07.25","0.23%",
="2017.07.26","0.24%",
="2017.07.27","0.23%",
="2017.07.28","0.24%",
="2017.07.29","0.20%",
="2017.07.30","0.00%",
="2017.07.31","0.18%",
="2017.08.01","0.16%",
="2017.08.02","0.17%",
="2017.08.03","0.17%",
="2017.08.04","0.18%",
="2017.08.05","0.17%",
="2017.08.06","0.19%",
="2017.08.07","0.00%",
="2017.08.08","0.00%",
="2017.08.09","0.19%",
="2017.08.10","0.19%",
="2017.08.11","0.19%",
="2017.08.12","0.18%",
="2017.08.13","0.00%",
="2017.08.14","0.19%",
="2017.08.15","0.19%",
="2017.08.16","0.21%",
="2017.08.17","0.00%",
="2017.08.18","0.00%",
="2017.08.19","0.20%",
="2017.08.20","0.22%",
="2017.08.21","0.23%",
="2017.08.22","0.25%",
="2017.08.23","0.28%",
="2017.08.24","0.38%",
="2017.08.25","0.35%",
="2017.08.26","0.26%",
="2017.08.27","0.27%",
="2017.08.28","0.29%",
="2017.08.29","0.25%",
="2017.08.30","0.26%",
="2017.08.31","0.00%",
="2017.09.01","0.28%",
="2017.09.02","0.17%",
="2017.09.03","0.18%",
="2017.09.04","0.00%",
="2017.09.05","0.32%",
="2017.09.06","0.32%",
="2017.09.07","0.31%",
="2017.09.08","0.00%",
="2017.09.09","0.21%",
="2017.09.10","0.21%",
="2017.09.11","0.27%",
="2017.09.12","0.46%",
="2017.09.13","0.00%",
="2017.09.14","0.38%",
="2017.09.15","0.37%",
="2017.09.16","0.30%",
="2017.09.17","0.30%",
="2017.09.18","0.00%",
="2017.09.19","0.34%",
="2017.09.20","0.38%",
="2017.09.21","0.36%",
="2017.09.22","0.34%",
="2017.09.23","0.30%",
="2017.09.24","0.30%",
="2017.09.25","0.33%",
="2017.09.26","0.00%",
="2017.09.27","0.00%",
="2017.09.28","0.33%",
="2017.09.29","0.00%",
="2017.09.30","0.00%",

