"排序","操作系统","浏览量占比",
"0","Win 7","61.83%",
"1","Win XP","17.57%",
"2","Win 10","11.22%",
"3","Win 8","4.18%",
"4","其他","5.2%",

"Win 7操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.30","11.22%",
="2017.07.31","11.11%",
="2017.08.01","11.20%",
="2017.08.02","0.00%",
="2017.08.03","11.25%",
="2017.08.04","11.09%",
="2017.08.05","11.30%",
="2017.08.06","11.60%",
="2017.08.07","11.33%",
="2017.08.08","11.20%",
="2017.08.09","11.08%",
="2017.08.10","10.99%",
="2017.08.11","10.97%",
="2017.08.12","11.12%",
="2017.08.13","11.37%",
="2017.08.14","10.86%",
="2017.08.15","10.46%",
="2017.08.16","10.87%",
="2017.08.17","10.85%",
="2017.08.18","10.71%",
="2017.08.19","10.92%",
="2017.08.20","11.41%",
="2017.08.21","11.20%",
="2017.08.22","11.32%",
="2017.08.23","11.10%",
="2017.08.24","10.70%",
="2017.08.25","10.95%",
="2017.08.26","10.83%",
="2017.08.27","11.50%",
="2017.08.28","0.00%",
="2017.08.29","11.38%",
="2017.08.30","11.51%",
="2017.08.31","11.59%",
="2017.09.01","11.60%",
="2017.09.02","11.24%",
="2017.09.03","11.52%",
="2017.09.04","11.83%",
="2017.09.05","11.77%",
="2017.09.06","11.86%",
="2017.09.07","11.83%",
="2017.09.08","11.41%",
="2017.09.09","10.96%",
="2017.09.10","11.43%",
="2017.09.11","11.62%",
="2017.09.12","11.72%",
="2017.09.13","11.74%",
="2017.09.14","11.92%",
="2017.09.15","11.64%",
="2017.09.16","11.31%",
="2017.09.17","11.93%",
="2017.09.18","0.00%",
="2017.09.19","12.04%",
="2017.09.20","12.23%",
="2017.09.21","12.10%",
="2017.09.22","11.72%",
="2017.09.23","11.73%",
="2017.09.24","12.27%",
="2017.09.25","12.18%",
="2017.09.26","12.13%",
="2017.09.27","12.16%",
="2017.09.28","12.02%",
="2017.09.29","12.00%",
="2017.09.30","11.54%",

"Win 8操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","4.25%",
="2017.07.02","4.38%",
="2017.07.03","4.02%",
="2017.07.04","4.01%",
="2017.07.05","4.04%",
="2017.07.06","4.04%",
="2017.07.07","4.05%",
="2017.07.08","4.23%",
="2017.07.09","4.33%",
="2017.07.10","3.99%",
="2017.07.11","4.01%",
="2017.07.12","3.98%",
="2017.07.13","4.06%",
="2017.07.14","4.04%",
="2017.07.15","4.19%",
="2017.07.16","4.37%",
="2017.07.17","4.00%",
="2017.07.18","4.05%",
="2017.07.19","4.02%",
="2017.07.20","3.96%",
="2017.07.21","3.98%",
="2017.07.22","4.18%",
="2017.07.23","4.30%",
="2017.07.24","4.00%",
="2017.07.25","4.03%",
="2017.07.26","4.05%",
="2017.07.27","4.03%",
="2017.07.28","4.03%",
="2017.07.29","4.18%",
="2017.07.30","4.28%",
="2017.07.31","4.00%",
="2017.08.01","4.03%",
="2017.08.02","0.00%",
="2017.08.03","4.01%",
="2017.08.04","4.00%",
="2017.08.05","4.19%",
="2017.08.06","4.32%",
="2017.08.07","4.01%",
="2017.08.08","3.96%",
